0101011001111  bits: 13, d:12
1010011001111  bits: 13, d:12
1010001001111  bits: 13, d:12
1001010001111  bits: 13, d:12
1010010001111  bits: 13, d:12
1010000110111  bits: 13, d:12
1000110010111  bits: 13, d:12
1010100100111  bits: 13, d:12
1011000100111  bits: 13, d:12
1011011000111  bits: 13, d:12
1011001000111  bits: 13, d:12
1010110000111  bits: 13, d:12
1011010000111  bits: 13, d:12
1000101111011  bits: 13, d:12
1000010111011  bits: 13, d:12
1000111011011  bits: 13, d:12
1000101011011  bits: 13, d:12
0101000011011  bits: 13, d:12
1000001101011  bits: 13, d:12
0100011001011  bits: 13, d:12
1000010001011  bits: 13, d:12
1001001100011  bits: 13, d:12
0101011000011  bits: 13, d:12
1001010000011  bits: 13, d:12
1000100111101  bits: 13, d:12
1000011011101  bits: 13, d:12
0010110011101  bits: 13, d:12
1110001101101  bits: 13, d:12
1110000101101  bits: 13, d:12
1000011001101  bits: 13, d:12
1110001001101  bits: 13, d:12
1110010001101  bits: 13, d:12
0010011110101  bits: 13, d:12
1111100110101  bits: 13, d:12
1110000110101  bits: 13, d:12
0011110010101  bits: 13, d:12
0000110010101  bits: 13, d:12
1110010010101  bits: 13, d:12
1111001100101  bits: 13, d:12
1111000100101  bits: 13, d:12
1111011000101  bits: 13, d:12
1111001000101  bits: 13, d:12
1110110000101  bits: 13, d:12
1001100000101  bits: 13, d:12
0000101011001  bits: 13, d:12
1010000011001  bits: 13, d:12
1111000101001  bits: 13, d:12
1100000101001  bits: 13, d:12
1100011001001  bits: 13, d:12
1101101110001  bits: 13, d:12
1110100110001  bits: 13, d:12
1101111010001  bits: 13, d:12
1101101010001  bits: 13, d:12
1011110010001  bits: 13, d:12
1011101100001  bits: 13, d:12
1011001100001  bits: 13, d:12
1101110100001  bits: 13, d:12
1101000100001  bits: 13, d:12
1101011000001  bits: 13, d:12
0010100111110  bits: 13, d:12
0010111011110  bits: 13, d:12
0010001011110  bits: 13, d:12
0100110011110  bits: 13, d:12
0100010011110  bits: 13, d:12
0100001101110  bits: 13, d:12
0010010101110  bits: 13, d:12
0010000101110  bits: 13, d:12
0001011001110  bits: 13, d:12
0010010001110  bits: 13, d:12
0011100110110  bits: 13, d:12
0011111010110  bits: 13, d:12
0000111010110  bits: 13, d:12
0101111100110  bits: 13, d:12
1111010100110  bits: 13, d:12
0110011111010  bits: 13, d:12
0001001111010  bits: 13, d:12
0000110111010  bits: 13, d:12
0000100111010  bits: 13, d:12
0000111011010  bits: 13, d:12
0000110011010  bits: 13, d:12
0001101101010  bits: 13, d:12
1111001101010  bits: 13, d:12
1100001101010  bits: 13, d:12
0001111001010  bits: 13, d:12
0000011001010  bits: 13, d:12
1101100001010  bits: 13, d:12
0001101110010  bits: 13, d:12
0001110110010  bits: 13, d:12
0111100110010  bits: 13, d:12
0001111010010  bits: 13, d:12
0001110010010  bits: 13, d:12
1101001100010  bits: 13, d:12
0111100100010  bits: 13, d:12
0111011000010  bits: 13, d:12
0110101111100  bits: 13, d:12
1010100111100  bits: 13, d:12
0110110011100  bits: 13, d:12
0111101110100  bits: 13, d:12
1011100110100  bits: 13, d:12
0111110010100  bits: 13, d:12
1010111100100  bits: 13, d:12
0111010100100  bits: 13, d:12
0111000100100  bits: 13, d:12
0111101000100  bits: 13, d:12
0111010000100  bits: 13, d:12
0100101111000  bits: 13, d:12
0101001111000  bits: 13, d:12
0100110111000  bits: 13, d:12
0100100111000  bits: 13, d:12
0100111011000  bits: 13, d:12
0101011011000  bits: 13, d:12
0111001101000  bits: 13, d:12
0101111001000  bits: 13, d:12
0101101110000  bits: 13, d:12
0110101110000  bits: 13, d:12
0101110110000  bits: 13, d:12
0101100110000  bits: 13, d:12
1010100110000  bits: 13, d:12
1001101010000  bits: 13, d:12
0101110010000  bits: 13, d:12
0101001100000  bits: 13, d:12
bits: 13, Max : 12
10110000100111  bits: 14, d:13
10110010000111  bits: 14, d:13
10000011101101  bits: 14, d:13
11100001001101  bits: 14, d:13
11100100001101  bits: 14, d:13
10011010010101  bits: 14, d:13
10101001011001  bits: 14, d:13
10110111000001  bits: 14, d:13
01001000111110  bits: 14, d:13
01010110100110  bits: 14, d:13
01100101101010  bits: 14, d:13
00011011110010  bits: 14, d:13
00011110110010  bits: 14, d:13
01111100010010  bits: 14, d:13
01001101111000  bits: 14, d:13
01001111011000  bits: 14, d:13
bits: 14, Max : 13
bits: 15, Max : 1
0110001010011111  bits: 16, d:15
0110010100001111  bits: 16, d:15
1000010100110111  bits: 16, d:15
1000110010010111  bits: 16, d:15
1011010001000111  bits: 16, d:15
1010110010000111  bits: 16, d:15
0100001110011011  bits: 16, d:15
1010110000010011  bits: 16, d:15
0101011011000011  bits: 16, d:15
0010011000111101  bits: 16, d:15
1110001000101101  bits: 16, d:15
1110000100110101  bits: 16, d:15
1100100000110101  bits: 16, d:15
0011110010010101  bits: 16, d:15
0000011010111001  bits: 16, d:15
0000111101011001  bits: 16, d:15
1110100100110001  bits: 16, d:15
1110110010100001  bits: 16, d:15
0001001101011110  bits: 16, d:15
0001011011001110  bits: 16, d:15
1111000010100110  bits: 16, d:15
1111100101000110  bits: 16, d:15
1100001101101010  bits: 16, d:15
0011011111001010  bits: 16, d:15
0001111011001010  bits: 16, d:15
0001110111010010  bits: 16, d:15
1101100111000010  bits: 16, d:15
1010100100111100  bits: 16, d:15
0101001111101100  bits: 16, d:15
1011110001100100  bits: 16, d:15
0101001101111000  bits: 16, d:15
0100101110111000  bits: 16, d:15
0111001101101000  bits: 16, d:15
0111101011001000  bits: 16, d:15
1001101011110000  bits: 16, d:15
1001110101100000  bits: 16, d:15
bits: 16, Max : 15
10100011001011111  bits: 17, d:16
10101100010011111  bits: 17, d:16
01010001100101111  bits: 17, d:16
10100001100101111  bits: 17, d:16
10101011001001111  bits: 17, d:16
01010100110001111  bits: 17, d:16
10100100110001111  bits: 17, d:16
10010100010001111  bits: 17, d:16
10100100010001111  bits: 17, d:16
10101001100001111  bits: 17, d:16
10001010000110111  bits: 17, d:16
10000011001010111  bits: 17, d:16
10100011000010111  bits: 17, d:16
10110010011100111  bits: 17, d:16
10110000010100111  bits: 17, d:16
10110110011000111  bits: 17, d:16
10110111001000111  bits: 17, d:16
10101001001000111  bits: 17, d:16
10110110001000111  bits: 17, d:16
10101100110000111  bits: 17, d:16
10110100010000111  bits: 17, d:16
10101101100000111  bits: 17, d:16
10110101100000111  bits: 17, d:16
10101100100000111  bits: 17, d:16
10000011101011011  bits: 17, d:16
01000100111101011  bits: 17, d:16
10000010011101011  bits: 17, d:16
10000011101101011  bits: 17, d:16
10000011001101011  bits: 17, d:16
01000001100101011  bits: 17, d:16
10101000001110011  bits: 17, d:16
10101011000010011  bits: 17, d:16
10010010111100011  bits: 17, d:16
01010101101100011  bits: 17, d:16
01010110011000011  bits: 17, d:16
10101011001000011  bits: 17, d:16
10010100110000011  bits: 17, d:16
00101011001111101  bits: 17, d:16
00101000011011101  bits: 17, d:16
10001100001011101  bits: 17, d:16
10001010010011101  bits: 17, d:16
11100010011101101  bits: 17, d:16
11100011001101101  bits: 17, d:16
11100010001101101  bits: 17, d:16
11100000110101101  bits: 17, d:16
11100001000101101  bits: 17, d:16
11100111001001101  bits: 17, d:16
11100101000001101  bits: 17, d:16
00001011001110101  bits: 17, d:16
11100000110110101  bits: 17, d:16
11100001100110101  bits: 17, d:16
11100000100110101  bits: 17, d:16
11111001000110101  bits: 17, d:16
00001110011010101  bits: 17, d:16
11110010011010101  bits: 17, d:16
11000010011010101  bits: 17, d:16
11001000011010101  bits: 17, d:16
00111001001010101  bits: 17, d:16
00111100110010101  bits: 17, d:16
11110000110010101  bits: 17, d:16
11100010010010101  bits: 17, d:16
10011011000010101  bits: 17, d:16
11001110000010101  bits: 17, d:16
11110001100100101  bits: 17, d:16
11110001000100101  bits: 17, d:16
11111010011000101  bits: 17, d:16
11101000011000101  bits: 17, d:16
11110100110000101  bits: 17, d:16
10101000011011001  bits: 17, d:16
11000001100101001  bits: 17, d:16
11110001000101001  bits: 17, d:16
11000111101001001  bits: 17, d:16
10111010000110001  bits: 17, d:16
10111001001010001  bits: 17, d:16
11101100001010001  bits: 17, d:16
11010110111000001  bits: 17, d:16
11011010111000001  bits: 17, d:16
11010110011000001  bits: 17, d:16
11101010011000001  bits: 17, d:16
11010111001000001  bits: 17, d:16
00101000110111110  bits: 17, d:16
00010101100111110  bits: 17, d:16
00101001100111110  bits: 17, d:16
00100101000111110  bits: 17, d:16
00101001000111110  bits: 17, d:16
00010011110101110  bits: 17, d:16
01000110110101110  bits: 17, d:16
01000101111001110  bits: 17, d:16
00111000010110110  bits: 17, d:16
00001110111010110  bits: 17, d:16
00111110011010110  bits: 17, d:16
01010111100100110  bits: 17, d:16
